customer_id,age,employment_type,monthly_income,city,city_tier,bureau_score,has_pl,pl_ticket_size,pl_tenure_months,pl_vintage_months,repayment_score,dpd_last_12m,foir_percent,digital_engagement_score,app_logins_90d,hl_calculator_used,hl_propensity_score,took_hl,hl_ticket_size,hl_tenure_months,hl_vintage_months,segment,model_propensity_score,propensity_decile
CUST000001,38,Self-Employed,79043,Kochi,Tier 2,709,True,198515,24,29,41,0,10.46,68,5,True,99.75,True,2054319,180,15,Ready for Home,52.099907,10
CUST000002,23,Self-Employed,82174,Mumbai,Tier 1,690,True,394980,36,23,44,1,13.35,97,12,False,64.67,False,0,0,0,High Potential,16.90249,4
CUST000003,32,Salaried,59633,Mumbai,Tier 1,703,True,136631,18,9,56,2,12.73,97,9,True,100.0,True,1696340,180,15,Ready for Home,27.350012,7
CUST000004,31,Salaried,67856,Kochi,Tier 2,730,True,201311,12,12,48,0,24.72,100,18,False,79.31,True,3582453,300,12,Ready for Home,30.981647,8
CUST000006,47,Salaried,44703,Delhi,Tier 1,798,True,178606,36,37,97,0,11.1,72,16,True,91.36,False,0,0,0,Ready for Home,75.69954,10
CUST000007,39,Self-Employed,48325,Delhi,Tier 1,757,True,226408,24,25,55,0,19.52,70,3,False,56.3,False,0,0,0,High Potential,22.987886,6
CUST000008,30,Salaried,33556,Lucknow,Tier 2,751,True,135163,12,37,53,0,33.57,87,12,False,45.58,False,0,0,0,Medium Potential,19.735159,5
CUST000009,34,Salaried,63070,Kochi,Tier 2,805,True,117411,24,9,89,0,7.76,74,10,False,85.84,True,2835557,240,19,Ready for Home,57.26319,10
CUST000010,41,Salaried,78420,Nashik,Tier 3,649,True,161069,60,30,9,0,3.42,84,20,False,78.16,False,0,0,0,Ready for Home,4.278948,1
CUST000012,27,Salaried,60573,Kochi,Tier 2,653,True,179745,60,43,28,4,4.95,64,7,False,41.53,False,0,0,0,Medium Potential,11.616964,2
CUST000013,39,Self-Employed,76277,Chandigarh,Tier 3,746,True,121201,48,38,38,0,3.31,69,6,False,78.56,True,2613033,180,17,Ready for Home,48.93572,9
CUST000014,38,Salaried,92683,Mumbai,Tier 1,765,True,282258,48,12,51,0,6.34,75,14,False,78.13,True,4918283,180,22,Ready for Home,45.482468,9
CUST000015,37,Salaried,35795,Chandigarh,Tier 3,784,True,142696,36,35,72,0,11.07,77,14,False,55.14,True,633254,240,9,High Potential,51.284897,10
CUST000016,32,Self-Employed,71430,Indore,Tier 2,688,True,345543,48,6,33,1,10.08,63,3,True,90.16,True,3738602,300,5,Ready for Home,42.31573,9
CUST000017,27,Salaried,43107,Jaipur,Tier 2,695,True,209659,36,15,25,0,13.51,100,15,False,25.64,False,0,0,0,Low Intent,8.002604,1
CUST000018,36,Salaried,52996,Jaipur,Tier 2,737,True,175602,24,38,61,1,13.81,97,17,False,84.47,True,1510963,120,19,Ready for Home,55.832012,10
CUST000019,23,Salaried,52753,Mumbai,Tier 1,649,True,119351,48,12,32,0,4.71,100,15,False,54.21,False,0,0,0,High Potential,7.1107903,1
CUST000020,30,Salaried,55741,Lucknow,Tier 2,722,True,232225,24,18,59,0,17.36,89,19,False,79.31,False,0,0,0,Ready for Home,20.82652,6
CUST000021,32,Self-Employed,52172,Rajkot,Tier 3,777,True,196908,36,40,81,0,10.48,98,19,False,86.67,True,1945436,120,3,Ready for Home,44.077023,9
CUST000022,32,Salaried,66057,Chennai,Tier 1,745,True,198122,18,12,71,0,16.66,62,10,False,85.79,True,2004689,120,13,Ready for Home,46.341797,9
CUST000023,46,Self-Employed,54627,Coimbatore,Tier 2,765,True,266585,36,33,73,0,13.56,60,3,False,54.58,False,0,0,0,High Potential,16.22491,4
CUST000024,38,Salaried,66815,Jaipur,Tier 2,721,True,310938,12,8,66,2,38.78,64,5,False,67.65,True,2090376,240,17,High Potential,49.69612,10
CUST000025,29,Salaried,25000,Coimbatore,Tier 2,707,True,110456,60,30,49,3,7.36,100,16,False,45.31,False,0,0,0,Medium Potential,18.253027,5
CUST000028,40,Self-Employed,121715,Pune,Tier 1,767,True,146281,18,32,49,0,6.68,97,14,False,85.74,False,0,0,0,Ready for Home,65.23113,10
CUST000029,23,Salaried,35166,Bhopal,Tier 3,611,True,105752,12,16,3,1,25.06,73,17,False,45.0,False,0,0,0,Medium Potential,5.8516817,1
CUST000030,35,Self-Employed,101842,Coimbatore,Tier 2,734,True,172434,48,47,48,1,3.53,49,4,False,75.13,False,0,0,0,Ready for Home,24.747797,7
CUST000031,25,Salaried,40624,Hyderabad,Tier 1,707,True,124348,36,27,43,0,8.5,100,15,False,42.51,False,0,0,0,Medium Potential,21.038519,6
CUST000032,23,Salaried,39051,Lucknow,Tier 2,668,True,132665,12,22,16,2,28.31,99,9,False,54.8,False,0,0,0,High Potential,6.249381,1
CUST000033,26,Salaried,39144,Indore,Tier 2,740,True,157984,12,11,75,0,33.63,86,15,False,27.41,False,0,0,0,Low Intent,11.632479,2
CUST000036,51,Salaried,62825,Mumbai,Tier 1,754,True,262783,24,14,64,0,17.43,77,18,False,69.65,False,0,0,0,High Potential,30.178408,8
CUST000040,34,Self-Employed,93203,Nagpur,Tier 2,747,True,308588,18,9,75,0,18.39,82,15,False,90.55,False,0,0,0,Ready for Home,12.706214,3
CUST000041,55,Salaried,121213,Bangalore,Tier 1,771,True,374653,24,41,80,3,12.88,57,6,True,98.68,False,0,0,0,Ready for Home,25.855108,7
CUST000042,27,Salaried,34960,Delhi,Tier 1,758,True,169890,60,19,56,0,8.1,86,19,False,50.38,False,0,0,0,High Potential,25.301563,7
CUST000043,24,Self-Employed,62905,Lucknow,Tier 2,651,True,285246,60,30,7,2,7.56,79,14,False,47.54,False,0,0,0,Medium Potential,27.659348,7
CUST000044,32,Salaried,50535,Nagpur,Tier 2,748,True,132471,12,33,56,0,21.84,69,7,False,69.67,False,0,0,0,High Potential,19.621721,5
CUST000045,30,Salaried,46175,Jaipur,Tier 2,775,True,173242,36,35,72,2,10.42,85,13,False,66.38,True,2125614,120,8,High Potential,50.879288,10
CUST000046,34,Salaried,47432,Nashik,Tier 3,697,True,124489,12,42,55,3,21.87,90,23,False,43.97,False,0,0,0,Medium Potential,21.139582,6
CUST000048,32,Salaried,57862,Nashik,Tier 3,667,True,150863,18,22,25,1,14.48,77,15,False,55.82,True,3217040,120,10,High Potential,18.658941,5
CUST000049,23,Salaried,44277,Mysore,Tier 3,675,True,132007,60,26,35,2,4.97,100,15,False,16.67,False,0,0,0,Low Intent,9.813287,2
CUST000054,45,Salaried,99461,Pune,Tier 1,800,True,387953,36,31,79,0,10.83,69,8,True,100.0,True,4696654,240,7,Ready for Home,67.23903,10
CUST000055,55,Salaried,90244,Hyderabad,Tier 1,779,True,183863,24,6,64,0,8.49,63,5,False,70.48,True,4803870,120,5,Ready for Home,46.45038,9
CUST000056,33,Self-Employed,49360,Chandigarh,Tier 3,796,True,134009,36,9,71,1,7.54,94,10,False,54.96,True,2856416,300,6,High Potential,26.341427,7
CUST000057,39,Salaried,85912,Mumbai,Tier 1,767,True,349885,60,40,91,1,6.79,74,16,True,100.0,False,0,0,0,Ready for Home,30.481737,8
CUST000059,35,Self-Employed,76081,Nashik,Tier 3,751,True,290119,24,45,64,0,15.89,91,20,True,100.0,True,4280687,300,6,Ready for Home,45.13267,9
CUST000061,32,Salaried,40769,Mysore,Tier 3,705,True,200001,36,46,35,1,13.63,89,8,False,54.09,True,1632985,120,22,High Potential,27.689829,7
CUST000062,31,Self-Employed,68195,Bhopal,Tier 3,712,True,297964,24,16,39,0,18.21,98,15,False,59.52,False,0,0,0,High Potential,8.409987,1
CUST000064,41,Salaried,109733,Bangalore,Tier 1,681,True,448431,24,34,36,1,17.03,82,10,False,97.49,False,0,0,0,Ready for Home,42.49934,9
CUST000065,38,Salaried,71624,Coimbatore,Tier 2,708,True,250218,48,27,28,5,7.28,100,10,False,73.28,False,0,0,0,Ready for Home,24.937338,7
CUST000066,34,Salaried,61869,Lucknow,Tier 2,745,True,306552,60,17,73,0,8.26,96,15,False,69.98,False,0,0,0,High Potential,20.615303,5
CUST000067,32,Salaried,45432,Pune,Tier 1,743,True,115795,24,16,57,2,10.62,76,20,False,75.5,True,2491790,300,6,Ready for Home,19.725897,5
CUST000069,39,Salaried,59394,Jaipur,Tier 2,811,True,206852,24,37,88,0,14.51,85,8,False,79.77,False,0,0,0,Ready for Home,37.353687,9
CUST000071,23,Salaried,58148,Lucknow,Tier 2,749,True,177308,60,13,54,5,5.08,89,11,False,55.44,False,0,0,0,High Potential,7.9390974,1
CUST000072,32,Salaried,71231,Bangalore,Tier 1,651,True,166122,48,33,20,1,4.86,85,14,False,73.5,False,0,0,0,Ready for Home,9.397774,2
CUST000073,42,Salaried,60695,Jaipur,Tier 2,767,True,243811,60,17,75,0,6.69,89,16,True,100.0,True,2168775,300,1,Ready for Home,21.40965,6
CUST000074,30,Salaried,60989,Delhi,Tier 1,711,True,241044,36,19,53,1,10.98,94,15,False,86.08,True,2627602,180,21,Ready for Home,37.28901,8
CUST000075,26,Salaried,32643,Nashik,Tier 3,779,True,141825,18,39,70,0,24.14,95,18,False,41.81,False,0,0,0,Medium Potential,13.010968,3
CUST000076,41,Self-Employed,110979,Hyderabad,Tier 1,800,True,244707,12,11,90,0,18.37,69,11,False,92.22,False,0,0,0,Ready for Home,56.063644,10
CUST000077,23,Salaried,25000,Nagpur,Tier 2,681,True,114676,60,31,45,1,7.65,100,19,False,23.69,False,0,0,0,Low Intent,19.58567,5
CUST000078,36,Salaried,86365,Indore,Tier 2,746,True,164964,48,26,55,4,3.98,86,13,False,71.29,False,0,0,0,Ready for Home,24.834743,7
CUST000080,49,Salaried,91334,Bangalore,Tier 1,827,True,140055,48,47,90,0,3.19,61,7,False,85.41,True,4201764,300,7,Ready for Home,66.74254,10
CUST000082,33,Salaried,47637,Nagpur,Tier 2,669,True,137937,48,7,21,1,6.03,100,18,False,63.9,False,0,0,0,High Potential,8.389781,1
CUST000083,44,Self-Employed,78784,Nagpur,Tier 2,771,True,195045,24,14,80,0,10.32,45,7,False,55.0,False,0,0,0,High Potential,18.217083,5
CUST000085,34,Salaried,63754,Pune,Tier 1,761,True,213969,60,35,72,0,5.59,89,16,True,100.0,True,891211,240,18,Ready for Home,66.41831,10
CUST000086,25,Salaried,25000,Nagpur,Tier 2,752,True,115014,60,31,61,2,7.67,100,20,False,49.98,True,1317449,240,10,Medium Potential,69.088066,10
CUST000087,37,Self-Employed,88042,Pune,Tier 1,709,True,176075,60,7,36,5,3.33,95,22,False,89.75,False,0,0,0,Ready for Home,5.203817,1
CUST000088,35,Salaried,40322,Pune,Tier 1,705,True,123629,48,30,40,1,6.39,80,13,False,69.87,True,1729950,120,11,High Potential,20.867304,6
CUST000089,47,Salaried,102281,Pune,Tier 1,757,True,410303,12,16,77,0,33.43,53,6,True,88.54,False,0,0,0,Ready for Home,22.302462,6
CUST000090,38,Self-Employed,100752,Mumbai,Tier 1,668,True,434126,48,27,40,0,8.98,74,19,False,74.54,True,3285266,120,21,Ready for Home,70.13824,10
CUST000091,38,Salaried,82142,Chennai,Tier 1,734,True,241179,36,16,49,0,8.16,71,17,False,90.54,False,0,0,0,Ready for Home,35.76793,8
CUST000094,43,Salaried,84630,Chennai,Tier 1,656,True,213006,24,41,24,2,10.49,63,4,True,95.64,False,0,0,0,Ready for Home,19.912231,5
CUST000095,42,Salaried,62648,Pune,Tier 1,738,True,114767,12,19,52,1,15.27,61,9,False,84.28,False,0,0,0,Ready for Home,16.054743,4
CUST000097,29,Salaried,66574,Lucknow,Tier 2,712,True,218381,60,38,62,2,5.47,100,17,False,67.5,True,3038576,120,4,High Potential,27.66082,7
CUST000098,34,Salaried,77319,Hyderabad,Tier 1,710,True,276249,18,44,55,1,19.85,74,13,True,100.0,False,0,0,0,Ready for Home,24.29113,6
CUST000099,32,Salaried,79904,Guwahati,Tier 3,705,True,298594,60,42,26,2,6.23,100,9,False,64.36,False,0,0,0,High Potential,10.814364,2
CUST000101,35,Salaried,82162,Pune,Tier 1,701,True,328651,24,33,21,2,16.67,68,9,False,79.6,True,3601920,180,22,Ready for Home,29.900444,8
CUST000104,28,Self-Employed,34429,Lucknow,Tier 2,667,True,138411,12,26,26,2,33.5,90,18,False,37.63,False,0,0,0,Medium Potential,29.446539,7
CUST000105,44,Self-Employed,88077,Kochi,Tier 2,753,True,167429,12,28,61,0,15.84,69,3,True,100.0,False,0,0,0,Ready for Home,12.124988,3
CUST000107,34,Self-Employed,61290,Jaipur,Tier 2,787,True,159991,60,27,72,0,4.35,100,19,False,75.17,False,0,0,0,Ready for Home,29.762238,7
CUST000109,37,Self-Employed,61205,Mumbai,Tier 1,720,True,256060,48,33,33,1,8.72,72,21,True,100.0,False,0,0,0,Ready for Home,42.33895,9
CUST000110,29,Self-Employed,85749,Mysore,Tier 3,678,True,340850,24,42,27,0,16.56,78,10,False,71.42,False,0,0,0,Ready for Home,9.508292,2
CUST000111,38,Salaried,54414,Hyderabad,Tier 1,718,True,132247,48,40,52,0,5.06,81,13,False,82.32,False,0,0,0,Ready for Home,16.654568,4
CUST000116,36,Self-Employed,85424,Pune,Tier 1,748,True,171457,48,19,53,1,4.18,77,13,False,81.51,True,3844369,300,4,Ready for Home,46.300087,9
CUST000117,25,Self-Employed,25000,Mysore,Tier 3,729,True,114570,60,17,52,3,7.64,85,19,False,30.36,True,1409626,300,3,Medium Potential,38.836155,9
CUST000118,40,Salaried,110313,Delhi,Tier 1,803,True,174429,60,31,77,1,2.64,92,17,False,100.0,True,2230300,120,3,Ready for Home,81.60988,10
CUST000119,38,Salaried,68150,Kochi,Tier 2,830,True,100703,48,30,93,0,3.08,74,11,False,69.32,True,2353979,180,17,High Potential,74.35969,10
CUST000120,43,Salaried,67337,Indore,Tier 2,769,True,167351,12,42,65,0,20.71,71,20,False,48.38,False,0,0,0,Medium Potential,24.613806,7
CUST000122,30,Salaried,37515,Kochi,Tier 2,626,True,148129,12,33,15,2,32.9,86,17,False,52.07,False,0,0,0,High Potential,18.308529,5
CUST000123,41,Self-Employed,91458,Hyderabad,Tier 1,698,True,205415,12,17,37,4,18.72,61,5,False,77.61,False,0,0,0,Ready for Home,22.165045,6
CUST000124,33,Self-Employed,34757,Lucknow,Tier 2,722,True,156028,24,20,30,1,18.7,100,17,False,57.47,True,1911177,120,15,High Potential,40.555107,9
CUST000125,25,Salaried,40743,Mysore,Tier 3,693,True,182113,24,36,48,1,18.62,79,13,False,48.91,True,1444268,300,3,Medium Potential,27.27427,7
CUST000126,31,Self-Employed,54090,Delhi,Tier 1,693,True,167401,60,47,34,0,5.16,100,21,False,81.97,False,0,0,0,Ready for Home,17.337873,4
CUST000127,32,Self-Employed,64817,Delhi,Tier 1,718,True,319627,12,9,64,1,41.09,100,19,False,62.12,True,1660563,300,21,High Potential,46.018963,9
CUST000128,30,Self-Employed,25000,Kochi,Tier 2,724,True,103763,18,40,24,5,23.06,85,20,False,47.7,False,0,0,0,Medium Potential,8.162814,1
CUST000130,37,Salaried,58852,Chandigarh,Tier 3,751,True,195562,18,37,60,1,18.46,100,14,False,69.57,False,0,0,0,High Potential,15.5076685,4
CUST000133,46,Self-Employed,106023,Chennai,Tier 1,791,True,424060,48,18,62,1,8.33,68,6,False,76.45,False,0,0,0,Ready for Home,18.307512,5
CUST000135,44,Salaried,70960,Chennai,Tier 1,729,True,157592,12,44,47,2,18.51,47,9,False,60.24,True,3944936,300,18,High Potential,45.728172,9
CUST000136,23,Salaried,44343,Indore,Tier 2,726,True,123008,48,36,47,3,5.78,100,18,False,26.54,False,0,0,0,Low Intent,13.788784,3
CUST000139,44,Salaried,56342,Delhi,Tier 1,665,True,109513,12,46,28,1,16.2,48,7,False,56.38,False,0,0,0,High Potential,16.384264,4
CUST000140,32,Salaried,69031,Coimbatore,Tier 2,741,True,103602,48,15,58,0,3.13,87,18,False,79.14,False,0,0,0,Ready for Home,22.569597,6
CUST000141,27,Salaried,65178,Indore,Tier 2,683,True,217755,18,22,35,0,18.56,100,14,False,31.12,False,0,0,0,Medium Potential,15.59536,4
CUST000142,29,Self-Employed,75717,Jaipur,Tier 2,642,True,252771,36,41,18,2,9.27,94,14,False,68.97,False,0,0,0,High Potential,28.921976,7
CUST000143,23,Salaried,36313,Nashik,Tier 3,703,True,116719,18,46,37,1,17.86,95,18,False,34.98,False,0,0,0,Medium Potential,16.174265,4
CUST000144,44,Salaried,65837,Nashik,Tier 3,706,True,262199,18,36,46,1,22.13,71,12,False,60.36,False,0,0,0,High Potential,13.537502,3
CUST000146,37,Salaried,74319,Bhopal,Tier 3,640,True,153484,24,46,21,1,8.61,87,15,False,58.87,False,0,0,0,High Potential,9.989276,2
CUST000147,30,Salaried,41411,Delhi,Tier 1,736,True,202787,48,22,61,3,10.2,88,13,False,79.02,False,0,0,0,Ready for Home,21.739254,6
CUST000150,36,Salaried,59158,Chandigarh,Tier 3,671,True,163893,24,40,48,0,11.54,92,14,False,57.09,False,0,0,0,High Potential,22.34131,6
CUST000151,38,Salaried,46117,Jaipur,Tier 2,724,True,138554,24,9,54,1,12.52,96,19,False,56.31,False,0,0,0,High Potential,17.810242,5
CUST000152,27,Self-Employed,65566,Indore,Tier 2,663,True,100002,12,46,8,0,12.71,100,11,True,66.56,False,0,0,0,High Potential,9.506469,2
CUST000153,30,Self-Employed,38356,Guwahati,Tier 3,754,True,129855,12,35,56,0,28.21,80,14,False,46.24,False,0,0,0,Medium Potential,11.233418,2
CUST000154,32,Salaried,38427,Chandigarh,Tier 3,651,True,124445,36,27,21,4,9.0,72,16,False,53.3,True,2255820,240,2,High Potential,12.747886,3
CUST000157,23,Self-Employed,36074,Mysore,Tier 3,694,True,124821,60,6,38,0,5.77,100,17,False,32.3,False,0,0,0,Medium Potential,3.8745768,1
CUST000158,28,Salaried,46041,Chandigarh,Tier 3,655,True,171464,60,38,28,0,6.21,87,22,False,27.2,False,0,0,0,Low Intent,2.363146,1
CUST000159,29,Salaried,28829,Jaipur,Tier 2,691,True,141692,48,44,38,2,10.24,82,18,False,53.4,False,0,0,0,High Potential,21.09262,6
CUST000160,38,Self-Employed,78297,Pune,Tier 1,735,True,385351,12,10,53,2,41.01,67,5,False,87.02,False,0,0,0,Ready for Home,36.955814,8
CUST000161,35,Salaried,65939,Pune,Tier 1,726,True,243249,18,24,52,0,20.49,94,17,False,63.52,False,0,0,0,High Potential,19.201204,5
CUST000162,43,Self-Employed,101787,Mumbai,Tier 1,756,True,355668,60,27,65,1,5.82,66,9,True,100.0,False,0,0,0,Ready for Home,23.698343,6
CUST000164,37,Salaried,52243,Chennai,Tier 1,708,True,157208,18,45,50,2,16.72,100,19,False,75.76,True,2124965,120,23,Ready for Home,56.695152,10
CUST000166,33,Salaried,77798,Pune,Tier 1,699,True,326564,18,42,56,3,23.32,77,15,False,67.26,False,0,0,0,High Potential,20.547195,5
CUST000167,37,Salaried,58358,Nagpur,Tier 2,708,True,250847,36,10,38,2,11.94,81,17,False,71.65,False,0,0,0,Ready for Home,12.442778,3
CUST000169,24,Self-Employed,74121,Nagpur,Tier 2,600,True,283183,12,10,0,1,31.84,67,2,False,32.33,False,0,0,0,Medium Potential,17.320934,4
CUST000171,37,Salaried,50778,Delhi,Tier 1,709,True,151656,60,24,33,5,4.98,94,14,False,95.88,False,0,0,0,Ready for Home,24.386873,6
CUST000172,28,Salaried,54019,Indore,Tier 2,722,True,218492,48,18,58,0,8.43,79,17,False,55.92,False,0,0,0,High Potential,21.99678,6
CUST000173,35,Salaried,38271,Mumbai,Tier 1,834,True,165286,12,37,82,0,35.99,97,15,False,83.21,True,1012848,240,14,Ready for Home,50.068336,10
CUST000174,45,Salaried,80658,Pune,Tier 1,758,True,373499,18,23,61,0,25.73,62,4,False,94.41,False,0,0,0,Ready for Home,26.61483,7
CUST000175,23,Salaried,45295,Kochi,Tier 2,669,True,183059,24,16,25,4,16.84,100,20,False,35.95,True,729927,300,4,Medium Potential,40.262756,9
CUST000176,38,Self-Employed,118895,Nagpur,Tier 2,722,True,202476,36,42,62,1,4.73,70,12,False,85.21,True,1586752,240,2,Ready for Home,72.672844,10
CUST000177,41,Salaried,69648,Chennai,Tier 1,756,True,211900,60,31,57,2,5.07,86,17,False,64.01,True,3055500,120,4,High Potential,51.899685,10
CUST000179,23,Self-Employed,69502,Coimbatore,Tier 2,688,True,282224,48,45,38,0,8.46,100,16,False,57.57,False,0,0,0,High Potential,10.462345,2
CUST000180,39,Self-Employed,59582,Mumbai,Tier 1,712,True,102711,36,16,32,0,4.79,86,18,False,85.71,False,0,0,0,Ready for Home,9.238285,2
CUST000183,44,Self-Employed,97534,Kochi,Tier 2,685,True,127059,60,46,38,1,2.17,53,6,False,75.54,False,0,0,0,Ready for Home,15.899876,4
CUST000184,41,Self-Employed,91087,Chennai,Tier 1,750,True,307751,12,18,63,0,28.16,69,3,False,96.95,False,0,0,0,Ready for Home,22.287466,6
CUST000186,39,Self-Employed,88929,Delhi,Tier 1,689,True,393826,60,22,16,0,7.38,97,14,False,87.57,True,4740725,300,20,Ready for Home,58.21281,10
CUST000187,44,Self-Employed,34065,Delhi,Tier 1,720,True,116350,36,34,43,3,9.49,47,7,True,57.0,False,0,0,0,High Potential,13.372395,3
